epoch,train_nll,val_nll,monitor_k
1,1.3764953343373425,1.3606101821624033,
2,1.3388652913975265,1.3069753573495602,
3,1.2939053616433773,1.2563692342791786,
4,1.25657390648464,1.2317824299965954,
5,1.2275814762655295,1.2201750791169816,
6,1.2306186613046899,1.214677152638803,
7,1.2269823348747109,1.2108778731574519,
8,1.2334980289891082,1.2089257307368257,
9,1.216631992807928,1.204988680183241,
10,1.2135952868551578,1.2021212007193491,
11,1.226470389456119,1.2012199121584146,
12,1.2293489856540032,1.199479693549317,
13,1.2181827572156798,1.1983775386790332,
14,1.2293175908754457,1.1973201527392843,
15,1.2277821999675822,1.1971542402823623,
16,1.2006410765198041,1.193942239851999,
17,1.2139948111660075,1.1933145375271528,
18,1.2231838770632475,1.1931192092711267,
19,1.2092896025135833,1.1920994536899878,
20,1.21711055287775,1.1912394638674553,
21,1.2237267089339923,1.1915409799348493,
22,1.2306179662920393,1.1921178718895011,
23,1.2177949109167423,1.1915898897745867,
24,1.2204326481189367,1.1898790535471628,
25,1.2209498409955006,1.1886926768813668,
26,1.2226575950406633,1.188273363344199,
27,1.218047339961214,1.1875045163987576,
28,1.2044665093691844,1.1864013265806572,
29,1.2185320426832955,1.186903209133006,
30,1.2248088616245199,1.187074187656203,
31,1.1904557583467015,1.1853048475211978,
32,1.2030204422069046,1.1845187345841206,
33,1.2178337394066576,1.1850421434721297,
34,1.1994032162540365,1.1839351303748866,
35,1.2126532748060406,1.1845589786513824,
36,1.2131042030622374,1.1841623407140767,
37,1.212179905963394,1.1835722615883182,
38,1.213378076283437,1.1838113706291549,
39,1.2202439375643461,1.1838346811240088,
40,1.2101569220704853,1.1835401501584006,
41,1.1945974489427962,1.1812348562433854,
42,1.2191334423029199,1.1818466959801106,
43,1.1936449104884885,1.1813152777689653,
44,1.194508359117328,1.1809874941615677,
45,1.2045274320638404,1.1812888297037087,
46,1.20135453737007,1.1803113904820859,
47,1.1970384615772176,1.180053699655416,
48,1.2122977702122815,1.1804906536284003,
49,1.1775150996334147,1.1789428377009756,
50,1.2073565474096335,1.1793928789072465,
51,1.207417589313579,1.1796581213570954,
52,1.1804430574741003,1.1792753144487813,
53,1.2014266634887119,1.1793312307206711,
54,1.195103571100055,1.1790682368519745,
55,1.2029788764017932,1.179301301897714,
56,1.200120988881813,1.1793588453904298,
57,1.1974036266218941,1.1792537335630777,
58,1.2038892406337667,1.1793724003971366,
59,1.1924400127158974,1.1788408173539209,
60,1.1945420458631695,1.1781941272008496,
61,1.1826721947148162,1.1770983798500831,
62,1.1869347072997183,1.1768900560908357,
63,1.1952039217049222,1.1768452950936081,
64,1.1860903883880038,1.176662804695058,
65,1.1964377682164031,1.1760408915208171,
66,1.191911888572405,1.1770341366779578,
67,1.195674182109113,1.1764353949119764,
68,1.1886491618066464,1.1754916669542992,
69,1.1930999024859015,1.175663496307468,
70,1.1988030807027277,1.1759239881550692,
71,1.18028724193573,1.1748164130236007,
72,1.2117984182429764,1.1759957989072285,
73,1.1936520068150647,1.1754562948022862,
74,1.2003658897471878,1.176099301762322,
75,1.1813464569595624,1.175095620081581,
76,1.20208481572709,1.1753299853181438,
77,1.2008937034966811,1.1741139078036997,
78,1.1931117548132844,1.173861411315641,
79,1.1893982954745024,1.1732372935234814,
80,1.2006836342361737,1.1738274419020942,
81,1.1918934358740754,1.1735620692928697,
82,1.1837240502519428,1.1721419426817326,
83,1.174746443640511,1.1718294692916382,
84,1.2005862604896977,1.1717065528664508,
85,1.1931187206844114,1.1720796353380287,
86,1.1826462115881577,1.1707112898029064,
87,1.1969061482627437,1.1709483196667085,
88,1.1828161736704268,1.1706354936503338,
89,1.1883470820930768,1.1706486591621268,
90,1.1922206968631384,1.170627760082355,
91,1.1722350840298634,1.1698923267511798,
92,1.1848354170907218,1.1695353420146108,
93,1.1776161913601857,1.1696559203095969,
94,1.1916640367148057,1.170758124649875,
95,1.1932190094354018,1.170902135387029,
96,1.1859644224058907,1.1692883629333635,
97,1.1826156580223228,1.1684881084575953,
98,1.2088738027608619,1.1696418922518854,
99,1.1769484011632092,1.1682278389874394,
100,1.1765332964231383,1.167147497034996,
101,1.1827257691689257,1.1663286726654858,
102,1.1787535581948623,1.1661107592364848,
103,1.1820234420164577,1.166499114578211,
104,1.1685090244940992,1.1662215656978363,
105,1.195843444680268,1.1661438972185545,
106,1.2013478549021595,1.1666356696863303,
107,1.1526188265602544,1.1656763880659613,
108,1.1832944784524306,1.1659075113330124,
109,1.1866116568727314,1.1661301200340277,
110,1.196879672554304,1.1670082342036756,
111,1.19096247879964,1.1676914316653764,
112,1.1698309363059278,1.1664903415736938,
113,1.1793046627404555,1.1662406436871822,
114,1.177001732700276,1.1663826550061582,
115,1.1684283940297253,1.16530056333925,
116,1.174243614358722,1.1650189747074793,
117,1.1812037769353614,1.1650831204799483,
118,1.1937749880664754,1.1650906072488707,
119,1.1832560177119273,1.165122861709614,
120,1.1802831517075592,1.1655230022260807,
