epoch,train_loss,train_query_ce,train_support_ce,train_g_norm,train_base_logit_rms,train_person_correction_rms,train_person_to_base_ratio,val_nll,person_scale,lr
1,1.7212888047380268,1.3770541582467422,1.3768820065372396,0.1414644476377739,0.01839566513685123,0.000122330119099714,0.009072684955273597,1.3646414282613244,0.10193950682878494,0.0003
2,1.6877732974178385,1.3503002175744974,1.3496292447144131,0.6576792710232284,0.07222576861111622,0.0007562559363783672,0.009853230367572803,1.3264266313729716,0.10484232753515244,0.0003
3,1.6287511362219758,1.301603690633234,1.3081809327287495,1.0221383762809466,0.17412350397065002,0.0019492258423201318,0.011328399726101812,1.2786312667642525,0.10774186253547668,0.0003
4,1.5840539437419963,1.2670297937573127,1.2676644325256348,1.0804848198620778,0.3009584605131509,0.0027154508477322896,0.009087229411135305,1.2456974609906777,0.10980585962533951,0.0003
5,1.557915284948529,1.2457591677611728,1.2481950971315492,1.073410007188905,0.4042933380828713,0.0030874537945426296,0.007655777986038406,1.22984129313803,0.11110372096300125,0.0003
6,1.556216298409228,1.245406908809014,1.2428229259994794,1.0365702847264848,0.4671265831533468,0.003231521757354714,0.006923430423551011,1.2226708038692806,0.11169584095478058,0.0003
7,1.5447778566828314,1.233876626446562,1.2432191394410044,0.9644496452133611,0.48887781320877793,0.003214776296309143,0.006581953761853137,1.2177853798484826,0.11219314485788345,0.0003
8,1.535467487461162,1.226432645095969,1.235868161579348,0.6780439165403258,0.5117213129997253,0.0024298697507957804,0.004745456078177634,1.2145586481144306,0.11258881539106369,0.0003
9,1.5297386781224664,1.2196697738935363,1.2400684491643366,0.5178126495964123,0.5291814680369396,0.0022405149032941685,0.004228281582055508,1.2107402227600776,0.11341103166341782,0.0003
10,1.5341939251377898,1.2259592425148442,1.232721504175438,0.5430235480362514,0.5295260739776323,0.002513341456300245,0.0047449898282241705,1.2088392959119667,0.11475064605474472,0.0003
11,1.54009340394218,1.2335371431314721,1.2260091124840502,0.5397575621335011,0.5297023980122693,0.002867705513775911,0.005423972400713642,1.2072320526921045,0.11641182005405426,0.0003
12,1.5286318378628425,1.222010146896794,1.2262624052335631,0.5609385112546524,0.532503586332753,0.0032014242452481447,0.006007048485906057,1.2053230529952763,0.11833638697862625,0.0003
13,1.5395367640369344,1.2321763510973949,1.2292108130904864,0.5771779766622579,0.5165704078269455,0.0035724411982129205,0.006921616874916374,1.2030356152402244,0.12026636302471161,0.0003
14,1.5319557842218652,1.225044144774383,1.227418598139061,0.5698764819019245,0.5255281970186053,0.003980741396827518,0.007574195349764712,1.2014267265426344,0.12268906086683273,0.0003
15,1.5283273840850253,1.222338932865071,1.2237103120335993,0.6088436380872186,0.5351781794485057,0.004474388514557537,0.008366344303314417,1.2000052593785289,0.12516026198863983,0.0003
16,1.5173092293289472,1.21200563322823,1.2209717912494011,0.6065252322071003,0.5436409531899218,0.00500885036967273,0.009220747848234649,1.1986565485029312,0.12801030278205872,0.0003
17,1.5047523548018258,1.199158508822603,1.222119446070689,0.6397917889199167,0.5510979817723328,0.005222072306458118,0.009477184540679995,1.196784737655903,0.13065271079540253,0.0003
18,1.5514255267269206,1.2473470557410762,1.2160649592021726,0.6222020770018956,0.5369912554632943,0.0057186493210775674,0.010670905036605755,1.1965596057584391,0.13342030346393585,0.0003
19,1.519685740740794,1.214945932604232,1.2187047814423184,0.6360079387448868,0.5334679383151936,0.006510135849480922,0.01221862303549951,1.195123436317944,0.13663135468959808,0.0003
20,1.5099248616200573,1.2045596905474394,1.221203790520722,0.6423001851675645,0.5540460893568003,0.006994148935982079,0.012645615317489742,1.1938184166538128,0.13967129588127136,0.0003
21,1.5274474058511123,1.2236730625044625,1.2148536488694965,0.6093088219750602,0.5573179946755463,0.007396511926825317,0.013278499315932111,1.1937205428607536,0.14289042353630066,0.0003
22,1.4994322826277535,1.1954853219806023,1.2155487717322584,0.5977675836041288,0.5546188095830521,0.008098858601923258,0.014622566114478517,1.1924433222563682,0.14609070122241974,0.0003
23,1.5195476311557699,1.2150002133171514,1.2179422850878734,0.6184869903438496,0.55567090016491,0.008654854945697874,0.015588437084038302,1.1917585495488905,0.14967595040798187,0.0003
24,1.5084477663040161,1.2051005813310731,1.2131498939586136,0.5971130728721619,0.5540980601085806,0.00928774265185842,0.016806468525725714,1.190514169312897,0.15260052680969238,0.0003
25,1.5047566170962352,1.2011014223098755,1.2143784491521008,0.6057714499392599,0.5756210746630183,0.010068857673344747,0.017499806166116922,1.1901118309693803,0.15619654953479767,0.0003
26,1.5142569474454195,1.2104045917403023,1.2151348928235612,0.6862546542905411,0.5703821907628257,0.01072883092851009,0.01881385439971708,1.189231735457286,0.15939100086688995,0.0003
27,1.5162574120287626,1.2136407055944767,1.2102195451844413,0.6181743662312346,0.5644911223987363,0.011443576353760261,0.020302908916799527,1.1887063804560545,0.16309353709220886,0.0003
28,1.5176993001182124,1.214648444697542,1.211958864949784,0.6112982135898662,0.5701349124593554,0.012097494729425548,0.021257208273658214,1.1889822342451448,0.16717633605003357,0.0003
