persona_id,condition,step,g_disp,g_cos_pre,p_new,p_old,alpha
644,stable_old,1,0.42230531573295593,0.9981172680854797,0.40149980783462524,0.3809226155281067,0.24269163608551025
644,stable_old,2,0.8046317100524902,0.9926868677139282,0.4027125835418701,0.37693139910697937,0.24023808538913727
644,stable_old,3,1.1580548286437988,0.9840862154960632,0.40327689051628113,0.3734161853790283,0.23774346709251404
644,stable_old,4,1.488081693649292,0.9727663397789001,0.40333205461502075,0.37041714787483215,0.235286146402359
644,stable_old,5,1.7970105409622192,0.9592413902282715,0.4030168056488037,0.36792200803756714,0.23292723298072815
644,stable_old,6,2.085540294647217,0.9440602660179138,0.4024530053138733,0.36588340997695923,0.2307111918926239
644,stable_old,7,2.3537659645080566,0.9277685284614563,0.401739239692688,0.3642333149909973,0.22866614162921906
644,stable_old,8,2.601729393005371,0.9108738899230957,0.4009528160095215,0.3628951907157898,0.22680610418319702
644,sustained_new,1,1.0088313817977905,0.9829283952713013,0.3948688209056854,0.37847331166267395,0.2708110213279724
644,sustained_new,2,1.7963546514511108,0.9474009871482849,0.39014607667922974,0.37155085802078247,0.26641833782196045
644,sustained_new,3,2.422818422317505,0.9072355031967163,0.3858192265033722,0.36546528339385986,0.2624208331108093
644,sustained_new,4,2.9306459426879883,0.8679360747337341,0.3820503056049347,0.36029502749443054,0.25887781381607056
644,sustained_new,5,3.349644184112549,0.8313066363334656,0.3789082169532776,0.355864018201828,0.25582873821258545
644,sustained_new,6,3.7007076740264893,0.7977592349052429,0.37640896439552307,0.3520037829875946,0.2532808780670166
644,sustained_new,7,3.9985358715057373,0.7672435641288757,0.3745148777961731,0.34861990809440613,0.2512109875679016
644,sustained_new,8,4.253602981567383,0.7395797967910767,0.37314876914024353,0.345676064491272,0.2495725303888321
644,shock_recovery,0,1.0088313817977905,0.9829283952713013,0.3948688209056854,0.37847331166267395,0.2708110213279724
644,shock_recovery,1,1.1202112436294556,0.9810065627098083,0.39733266830444336,0.37596502900123596,0.23464435338974
644,shock_recovery,2,1.3472578525543213,0.9746758341789246,0.39886996150016785,0.37345048785209656,0.2329534888267517
644,shock_recovery,3,1.615515112876892,0.9648904800415039,0.39968356490135193,0.3710775673389435,0.23113365471363068
644,shock_recovery,4,1.891789436340332,0.9524158835411072,0.3999609053134918,0.3689298629760742,0.22929009795188904
626,stable_old,1,0.3616540729999542,0.9987508654594421,0.33839961886405945,0.2596789598464966,0.29020440578460693
626,stable_old,2,0.6751683950424194,0.9953399896621704,0.33857154846191406,0.2605345547199249,0.2902514636516571
626,stable_old,3,0.9537950754165649,0.9901900887489319,0.3386443853378296,0.2610916495323181,0.29027560353279114
626,stable_old,4,1.2058805227279663,0.9836493730545044,0.3386443555355072,0.2614380121231079,0.29028189182281494
626,stable_old,5,1.4366304874420166,0.9760195016860962,0.3385921120643616,0.2616332471370697,0.29027456045150757
626,stable_old,6,1.649280309677124,0.96756911277771,0.33850377798080444,0.2617162764072418,0.29025718569755554
626,stable_old,7,1.8458609580993652,0.9585408568382263,0.3383919596672058,0.26171180605888367,0.2902325391769409
626,stable_old,8,2.0276939868927,0.9491536617279053,0.33826613426208496,0.2616359293460846,0.2902028560638428
626,sustained_new,1,0.7936310172080994,0.989952564239502,0.33638858795166016,0.2672007977962494,0.2637247145175934
626,sustained_new,2,1.4037950038909912,0.9696223139762878,0.3356136679649353,0.27044808864593506,0.2655497193336487
626,sustained_new,3,1.8832595348358154,0.9469711780548096,0.33458831906318665,0.27033689618110657,0.2671552002429962
626,sustained_new,4,2.2670865058898926,0.9250339865684509,0.3332732319831848,0.26857998967170715,0.26851382851600647
626,sustained_new,5,2.578338623046875,0.9048978090286255,0.33193108439445496,0.2661619186401367,0.2696206569671631
626,sustained_new,6,2.832935094833374,0.8868875503540039,0.33072805404663086,0.2636035084724426,0.27049440145492554
