shuffle,n_query,accuracy,nll,brier,mean_neighbors_used
0,2061,0.5482775351770985,1.171135792350714,0.5936029182745698,1.030082484230956
1,2061,0.5536147501213003,1.1704604519456918,0.5923512110728242,0.9597282872392042
2,2061,0.5579815623483746,1.1681919440774045,0.5917641966004574,0.9893255701115963
3,2061,0.5526443474041728,1.1680995281074453,0.5923455366797438,1.0019408054342551
4,2061,0.5608927704997574,1.166960518125626,0.5912709494906302,0.9427462396894711
5,2061,0.5511887433284813,1.1708961967103437,0.5936905474520754,0.9699175157690442
6,2061,0.5477923338185346,1.1716094564613366,0.5939434180484445,0.9611838913148957
7,2061,0.5570111596312469,1.166886394839871,0.5923081746453455,0.9762251334303736
8,2061,0.5502183406113537,1.171325403623533,0.5948828937903281,0.9267345948568656
9,2061,0.5531295487627366,1.1727480823894094,0.5956774749159787,0.9267345948568656
10,2061,0.5516739446870451,1.1674175050913316,0.5926143527431385,0.980106744298884
11,2061,0.5492479378942261,1.1731637563273671,0.5956147344293622,0.9898107714701602
12,2061,0.5531295487627366,1.1734503161362364,0.5959188112300559,0.95536147501213
13,2061,0.5545851528384279,1.1700647772220127,0.5940364995425051,0.9116933527413876
14,2061,0.5511887433284813,1.1763656131823907,0.5989044327830134,0.8845220766618147
15,2061,0.5511887433284813,1.169089442343805,0.5934647509311776,0.9437166424065987
16,2061,0.5487627365356623,1.1719990712476864,0.595690729064287,0.8709364386220282
17,2061,0.5448811256671519,1.172663145665416,0.5954990811782841,1.004852013585638
18,2061,0.5463367297428433,1.1715668307915528,0.5942536397147813,0.9078117418728773
19,2061,0.5405143134400776,1.1728670843667541,0.5962380705479428,0.9636098981077147
20,2061,0.5487627365356623,1.172917583693921,0.5957566905978705,0.9883551673944687
21,2061,0.5458515283842795,1.16853198479493,0.5928757370463538,0.95536147501213
22,2061,0.5540999514798641,1.1656230345456768,0.5905316046930732,0.9917515769044153
23,2061,0.5448811256671519,1.1780464162333173,0.5971750275419854,0.9175157690441533
24,2061,0.5531295487627366,1.1699055135681218,0.5936747587556688,0.9893255701115963
