step,metric,n,mean,ci_low,ci_high
1,g_disp_change,196,0.8540449204797648,0.8082283805599627,0.9019810141463365
1,g_disp_stable,196,0.35004621698540084,0.3436222278341955,0.35626747109071943
1,excess_g_disp,196,0.5039987034943639,0.45753864539331013,0.5524465004856489
1,p_new_gain,196,0.0007526548389269381,-8.000028034558101e-05,0.0015391747666788956
1,alpha,196,0.23150138840155335,0.22245444152646754,0.24058636925991017
2,g_disp_change,196,1.5365559890562175,1.4544220021982888,1.6207875727846914
2,g_disp_stable,196,0.6478215007453548,0.6350189787278674,0.6596032691511269
2,excess_g_disp,196,0.8887344883108625,0.8071307121110814,0.9732640767888147
2,p_new_gain,196,0.0014038411710335283,5.918530253123264e-05,0.0027730958441234362
2,alpha,196,0.23249580929702035,0.22359511267811974,0.24144057659812423
3,g_disp_change,196,2.0852939325327777,1.9831958174591466,2.1926481966081326
3,g_disp_stable,196,0.9056586808696085,0.8886318340593454,0.9226233131119184
3,excess_g_disp,196,1.1796352516631692,1.0757602447871955,1.287485127842852
3,p_new_gain,196,0.001872920716295437,0.00012290132117970883,0.0036413182875103495
3,alpha,196,0.2332386318974349,0.2243935802547565,0.24195190638550843
4,g_disp_change,196,2.530365564841397,2.4075747830489154,2.6550537054826107
4,g_disp_stable,196,1.1321052057402474,1.1087798851561181,1.1564198534631607
4,excess_g_disp,196,1.3982603591011495,1.273277321879809,1.5244312387872108
4,p_new_gain,196,0.0021939308819722155,-6.754323840141141e-06,0.004355636280866302
4,alpha,196,0.23384686893954568,0.22450726805682464,0.24262245063223326
5,g_disp_change,196,2.8949885152432384,2.7584341380365043,3.030996430862923
5,g_disp_stable,196,1.3332195008287624,1.3063141349094862,1.360779820572661
5,excess_g_disp,196,1.5617690144144758,1.4257824374933024,1.7021492556193654
5,p_new_gain,196,0.0024189506562388675,-0.0001290290074765074,0.004848988763797953
5,alpha,196,0.2343670666711975,0.22539824097730904,0.24278879690088562
6,g_disp_change,196,3.196844646213006,3.0516363044098327,3.3416366809332856
6,g_disp_stable,196,1.5134113500921094,1.4818621485437058,1.5463705961801568
6,excess_g_disp,196,1.6834332961208966,1.5405864410102368,1.8288730544171163
6,p_new_gain,196,0.0025755156743891387,-4.0061992346023965e-05,0.005269443568754562
6,alpha,196,0.23481865337460625,0.22569208329933105,0.2435067462920192
7,g_disp_change,196,3.4493643054548575,3.2965488143265245,3.6094395391490997
7,g_disp_stable,196,1.6759848929181391,1.6406894739489166,1.7120031334763888
7,excess_g_disp,196,1.7733794125367184,1.620360855887435,1.930948883340675
7,p_new_gain,196,0.0026797358022660625,-0.00017158118627813392,0.005639382982056363
7,alpha,196,0.2352141475076882,0.22634641720333648,0.24391072854276138
8,g_disp_change,196,3.66278004403017,3.511811573134393,3.816974636851525
8,g_disp_stable,196,1.8234931565060908,1.7826589473200087,1.8660353852473959
8,excess_g_disp,196,1.8392868875240793,1.6782329954358994,2.0002235708644194
8,p_new_gain,196,0.002745607107573626,-0.00013418080836382438,0.005898318539506623
8,alpha,196,0.2355629742069512,0.2266032711070563,0.24384963996138195
