user_id,n_permutations,mean_cosine_to_perm_mean,min_cosine_to_perm_mean,g_norm_perm_mean,g_norm_across_perm_sd
61574934126943,12,0.9822969693464317,0.9731572288030684,4.612952552734679,0.09716067570556573
61575131153481,12,0.8876770905028977,0.5778311168389321,4.7207314199018375,0.19166005029599914
61574801413926,12,0.9651336195060423,0.9374752325864567,5.35825810318606,0.1416232645520694
61575315757634,12,0.9552567850546488,0.9108704656457022,5.25068554948118,0.08134857059752483
61574863962100,12,0.9441819007098241,0.9204465992491478,4.776016198065824,0.1680015200450262
61575201373332,12,0.9469575413426635,0.9068673548263108,5.1247168870606785,0.14992252439143736
61575691416622,12,0.9350955335764235,0.9043736996347296,4.696493230965673,0.15015167474755695
61574905567721,12,0.9343255655387002,0.862359519536342,4.779639420542613,0.21357778320919504
61575169251717,12,0.9133141529297721,0.8429282771850792,4.389050514464931,0.1446544294696335
61575111478220,12,0.9355208621091758,0.8661179871703689,5.252890834031019,0.12824214191656072
61575569215048,12,0.9604813536119988,0.9322315355196534,4.973786147740377,0.13331253525729306
61575003004721,12,0.9660552996974933,0.9469296464396288,4.439704722831126,0.06229317358419828
61575027123549,12,0.9751887859508369,0.9525950959567347,4.617882912828699,0.20698384842024206
61574951645380,12,0.9717844746445236,0.9617042177147109,5.158106935813656,0.08164445663688258
61574727556591,12,0.9602818137583933,0.9382896446687862,4.483218617003404,0.07765775950003496
61575239345239,12,0.8351653240292404,0.6738261513929968,4.522426801384155,0.2764274340217378
61575622629793,12,0.7413027305352093,0.3866549624486311,4.2650576463780245,0.1931293677202794
61575174584515,12,0.9620262429589016,0.8993958312602168,5.357912983094393,0.09665585779603435
61575689432183,12,0.9222819138195134,0.8541747051989965,4.676943930901414,0.1555181520490794
61575053907477,12,0.9650158333203281,0.9490627118357634,4.929595183190281,0.07613050249628722
61575568405010,12,0.9810730036546027,0.9731154462231583,4.920647150801724,0.03739421305205603
61575007354364,12,0.9533599510946908,0.8934649932150924,4.919858877324574,0.133776951106701
