epoch,train_loss,train_query_ce,train_support_ce,val_nll,person_scale
1,1.6576825210026331,1.329223905290876,1.3135849833488464,1.2942189895836096,1.716174602508545
2,1.6061209312507085,1.2820321534361159,1.2961056275027139,1.269715898429795,1.7157795429229736
3,1.577777896608625,1.2596083666597093,1.2724187161241258,1.2466070354925594,1.7171303033828735
4,1.563787349632808,1.25079368693488,1.251699562583651,1.228346036626256,1.721274733543396
5,1.541138504232679,1.2330108199800764,1.232218665736062,1.2112646715308248,1.7262303829193115
6,1.5088117974145072,1.2031605967453547,1.222294990505491,1.1963165932857172,1.7321938276290894
7,1.4888363012245722,1.1870319247245789,1.2068967606340135,1.182870161994758,1.7384133338928223
8,1.483879464013236,1.184001237154007,1.1991859376430511,1.1708527049102098,1.7436820268630981
9,1.4508358878748757,1.1548489332199097,1.1836028609957014,1.1585225521581042,1.7498902082443237
10,1.4447489465985979,1.1506318833146776,1.1761059548173631,1.1474238672189498,1.756240725517273
11,1.4299520467008864,1.1411627233028412,1.1547945397240775,1.1372212414706782,1.762915849685669
12,1.417235838515418,1.1294766025883811,1.1506693065166473,1.1285702011872187,1.7689074277877808
13,1.4008033190454756,1.1176648395402091,1.1321756030832018,1.1196811971874256,1.7758026123046875
14,1.4106187522411346,1.1292411983013153,1.1251288609845298,1.1115501002101447,1.7817482948303223
15,1.396174362727574,1.1170226633548737,1.1162178090640478,1.1041504938807143,1.7874525785446167
16,1.3740144968032837,1.0953486604349953,1.1142662721020835,1.096888408966574,1.7935131788253784
17,1.3803747509207045,1.1043046861886978,1.103887336594718,1.0907992677774976,1.7991931438446045
18,1.3347031431538718,1.061073552284922,1.094119565827506,1.0841523582703514,1.8054044246673584
19,1.3520726774420058,1.0828426565442766,1.0765167815344674,1.078632628756343,1.81120765209198
20,1.3498815723827906,1.07995229107993,1.0793114049094064,1.0729849362925594,1.8171334266662598
21,1.3178394862583704,1.0493709870747157,1.0734693620886122,1.0679551276689434,1.8234424591064453
22,1.3157399169036321,1.047439409153802,1.072794190474919,1.0630413164581558,1.8291977643966675
23,1.3319674730300903,1.0670347809791565,1.0593245795794897,1.058523100331933,1.834429383277893
24,1.3013024159840174,1.0366621315479279,1.058148558650698,1.0539530315137526,1.8400859832763672
25,1.3088247307709284,1.0442817551749093,1.057755293590682,1.0496052436003098,1.8455647230148315
26,1.2909139096736908,1.0293789229222707,1.0457205006054469,1.0454762093792447,1.850919246673584
27,1.2947788877146584,1.0362125933170319,1.0338485283511025,1.0416483392844824,1.8560940027236938
28,1.2796849182673864,1.02076684151377,1.0352563261985779,1.0380343166826507,1.8612428903579712
29,1.2705802832330977,1.0115345226866859,1.0357618012598582,1.0342111265360037,1.8665579557418823
30,1.2933886221476965,1.0350980992828096,1.0327418936150414,1.030340343966646,1.8716810941696167
31,1.2914960724966866,1.0363456649439675,1.0201771706342697,1.0270409891265244,1.8766673803329468
32,1.2310614500726973,0.9739105637584414,1.0281816167490823,1.0229855441860685,1.8823432922363281
33,1.2405024341174535,0.9874351663248879,1.0118418846811568,1.019836269221185,1.8877278566360474
34,1.2545255848339625,1.000655125294413,1.015055496777807,1.0167095303527953,1.8927267789840698
35,1.2490988969802856,0.9956767857074738,1.013260034578187,1.0140076942414435,1.8981800079345703
36,1.2272701604025704,0.9752694857972009,1.0075715226786477,1.0115003798867415,1.9034223556518555
37,1.2457661500998907,0.9943957605532238,1.0050513808216368,1.0087052927863032,1.9080886840820312
38,1.242596881730216,0.9921294578484127,1.0014416298695974,1.0059389742314386,1.9128837585449219
39,1.2207793082509721,0.9723297719444547,0.9933675804308483,1.003361105688594,1.9179328680038452
40,1.2016014839921678,0.9535111784934998,0.9919282389538628,1.0007059917934344,1.9228321313858032
41,1.219071137053626,0.9722163294042859,0.9869859580482755,0.998387789162455,1.9278404712677002
42,1.2297888270446233,0.98103409579822,0.9945823635373797,0.9961998134416941,1.9316487312316895
43,1.2305494078568049,0.9854370674916676,0.9800160718815667,0.9940037991276899,1.9354978799819946
44,1.197191589644977,0.9527808959994998,0.9772097915410995,0.9918467011246632,1.9403879642486572
45,1.215717967067446,0.9709455307040896,0.9786490840571267,0.9896277474628736,1.944698452949524
46,1.1984617816550391,0.9546965530940464,0.9746200229440417,0.9874505527859642,1.9495364427566528
47,1.2040451637336187,0.9608692484242576,0.972260057926178,0.98558392062317,1.9537522792816162
48,1.1993566070284163,0.9557640850543976,0.973929226398468,0.9834703393819201,1.9580934047698975
49,1.1632068157196045,0.9190462189061301,0.976203379886491,0.9814933792550113,1.9625961780548096
50,1.1925849595240183,0.9516419065850121,0.963329628109932,0.9796329147899837,1.9670249223709106
51,1.1962071784905024,0.9538164777415139,0.9691244385072163,0.9776639176063866,1.9712636470794678
52,1.177276270730155,0.9370873400143215,0.9603165090084076,0.975659246873063,1.9758278131484985
53,1.1665313435452325,0.9248256768499102,0.9663809644324439,0.9741341143147919,1.9802134037017822
54,1.1876065965209688,0.9502461722918919,0.9490068107843399,0.9727758235537736,1.9839026927947998
55,1.1875661058085305,0.9491544791630336,0.9532081633806229,0.9705337994235875,1.9878350496292114
56,1.19331890131746,0.9547171124390194,0.9539651444980076,0.9685311255370419,1.9919588565826416
57,1.1705478174345834,0.9335815693650927,0.9474221829857145,0.9666084891088405,1.9964752197265625
58,1.182809591293335,0.9467683881521225,0.9437181609017509,0.9647414928878144,2.000253438949585
59,1.163918633546148,0.9296336684908185,0.9366990391697202,0.9628695017772179,2.0045440196990967
60,1.1566980353423528,0.9188126197883061,0.9510935630117144,0.9611440298594541,2.008915424346924
61,1.163144309605871,0.9248307453734534,0.9528114604098457,0.9595184647634054,2.0130577087402344
62,1.1699985265731812,0.9328675866127014,0.9480819531849453,0.9578479440711636,2.01723313331604
63,1.1550895933594023,0.923338308930397,0.9265572045530591,0.9562465645726606,2.0215587615966797
64,1.182788223028183,0.9496166791234698,0.9322432002850941,0.9545661142894053,2.025186777114868
65,1.1575837944235121,0.9211774638720921,0.945182489497321,0.9529538319742245,2.028757333755493
66,1.1650701931544714,0.9323841205665043,0.930299773812294,0.9518587298013965,2.0325567722320557
67,1.160215098943029,0.9295438698359898,0.922235946570124,0.9506908782500751,2.037020206451416
68,1.1458925200360162,0.9126737926687513,0.9324283472129277,0.9493017669268828,2.0418219566345215
69,1.1498360655137472,0.9153628413166318,0.9374457470008305,0.9481772426275915,2.04642391204834
70,1.1669765285083227,0.9365437477827072,0.9212818912097386,0.9472586356720153,2.0504038333892822
71,1.1353896941457475,0.903786335672651,0.9259679658072335,0.9460217775132472,2.0546302795410156
72,1.1440800832850593,0.9119338201625007,0.9281370767525264,0.9448817893592439,2.0588877201080322
73,1.1446246802806854,0.9123591227190835,0.9286136456898281,0.9435313030662105,2.062438726425171
74,1.1243595480918884,0.8918309594903674,0.9296654377664838,0.9420279067771222,2.066884994506836
75,1.134545004793576,0.9051392717020852,0.9171774515083858,0.9408441093202242,2.070908308029175
76,1.1501411306006568,0.9189355394669941,0.9243790805339813,0.9396858049795987,2.07481050491333
77,1.1258784532546997,0.896864863378661,0.9156034205641065,0.9382504079575914,2.0789592266082764
