epoch,train_loss,train_query_ce,train_support_ce,train_g_norm,val_nll,person_scale
1,1.7215226618748791,1.3770970218586471,1.3776451326766104,0.14358434102164125,1.3645184880150338,0.10190526396036148
2,1.6888222649412334,1.351346584985841,1.349628986052747,0.6843213202818385,1.326379074106893,0.1047370508313179
3,1.6349370119706639,1.3079317290827912,1.3076107501983643,1.025858538330726,1.2779098703400542,0.10752445459365845
4,1.581991895189825,1.2639075630116012,1.2719050825766798,1.0806114201275807,1.2421494970752558,0.10970770567655563
5,1.558587040541307,1.2455178971560497,1.251845438525362,1.0777738881560992,1.2267764138437562,0.11104230582714081
6,1.5570086173291475,1.2470577302968726,1.239385481150645,1.0451934022723504,1.2217133042276587,0.11153534799814224
7,1.5391846512848477,1.2303368505441918,1.2349994519971452,0.9793578105152778,1.2175521968572895,0.11213164031505585
8,1.5358899022048373,1.2282496285888385,1.2302221037306875,0.8475015399590978,1.2149982915555344,0.11244487017393112
9,1.531191328786454,1.2231319625422639,1.2320456504821777,0.4795241389634474,1.2131693175365552,0.11299366503953934
10,1.5264222959302507,1.2183740228976843,1.2320110730405123,0.454995333023791,1.2110409835929181,0.1139397993683815
11,1.5216365692750462,1.2139190120517083,1.2306757333143703,0.48632364677933027,1.2090713148353756,0.11527576297521591
12,1.546041045548781,1.2410726659702804,1.219684677303962,0.47207076482053073,1.2074841104641616,0.11704429239034653
13,1.5243449076166693,1.218035470764592,1.2250283821573797,0.5234529792137865,1.2057906754106653,0.11851203441619873
14,1.5300022228708807,1.2238315996134057,1.2244722798185528,0.5256112988265056,1.204462773326153,0.12066743522882462
15,1.5084205011151872,1.2029386129019395,1.2216912575487822,0.5907422967676846,1.2035813790330778,0.12283546477556229
16,1.528277891986775,1.2244537146586292,1.2150727982790965,0.5597410657495823,1.201991504322454,0.12513335049152374
17,1.528183379263248,1.2230818788960296,1.2202088900332182,0.49279224985050707,1.20105927616513,0.127640962600708
18,1.5195470576016408,1.2161936332594674,1.213192710336649,0.5525240004062653,1.2004681440436,0.13059598207473755
19,1.522163064974659,1.2185967710782897,1.2140523487666868,0.5319764670336021,1.1995052535597226,0.1332235038280487
20,1.5161043607963707,1.2128188812507774,1.2129325866699219,0.5234522594595855,1.1989368593760397,0.13598358631134033
21,1.5303101202227034,1.2262156482012767,1.2161549172311459,0.5574919283390045,1.1986124726775964,0.1391606628894806
22,1.5186466653392,1.2147995188551128,1.2151784019650154,0.5254289811512209,1.1977383795887884,0.14235995709896088
23,1.517411103788412,1.2144626109105237,1.2115691720314745,0.561891994948657,1.1979247789530205,0.14523467421531677
24,1.5110163418751843,1.2080699250383198,1.2115671229812335,0.546421690369552,1.1967276126422572,0.14847074449062347
25,1.5190070890030771,1.2159161477718714,1.2121377890964724,0.5649251510512154,1.1964866307217037,0.15190117061138153
26,1.5140508503284094,1.2108243838796076,1.2127177985209339,0.47021525873328157,1.1960480998558305,0.1548411250114441
27,1.511930521929039,1.2101307005252477,1.206999144464169,0.5004683384355509,1.1950367119211276,0.1581777036190033
28,1.5041507932375062,1.201938051097798,1.2086446375217077,0.5158171265755059,1.1946366896685743,0.16190025210380554
29,1.4897257741892114,1.189051625863561,1.2024806670422823,0.539965679060738,1.1937245144105297,0.16562125086784363
30,1.5112046520665008,1.2080227249073532,1.2125120162963867,0.5391605940629851,1.1936565105266264,0.16924545168876648
