model_a,model_b,metric,n_users,delta,ci_low,ci_high
g_learned,g_reset_query_only,accuracy,361,0.0006694367497691596,-0.0029844347711383726,0.004521583564173593
g_learned,g_swapped_same_language,accuracy,361,0.0006694367497691596,-0.002994327925075848,0.004432380292837357
g_learned,g_reset_query_only,nll,361,-0.002368324357534966,-0.002938359988192373,-0.0018011273818406717
g_learned,g_swapped_same_language,nll,361,-0.002171244476519202,-0.002733993783507725,-0.0016280871075799682
g_learned,g_reset_query_only,brier,361,-0.001396344335881218,-0.0016749182748678146,-0.0011146300937736413
g_learned,g_swapped_same_language,brier,361,-0.0012966508622153396,-0.0015995346369560338,-0.000983457843229187
