condition,n_query,n_users,accuracy,elicited_nll,elicited_brier,mean_p_true,mean_actual_k,mean_input_tokens
query_only,392,196,0.22448979591836735,1.4217823032598023,0.780975,0.2595408163265306,0.0,510.3826530612245
rag_1,392,196,0.2729591836734694,1.409523000165465,0.7717760204081633,0.2674489795918367,1.0,631.0280612244898
rag_3,392,196,0.2653061224489796,1.4057797565967756,0.7697382653061225,0.2696938775510204,3.0,873.3469387755102
rag_5,392,196,0.27040816326530615,1.3887987472702925,0.7637908163265307,0.2692857142857143,4.98469387755102,1111.2984693877552
rag_10,392,196,0.2780612244897959,1.3832914224765984,0.7585510204081632,0.26997448979591837,9.137755102040817,1600.2576530612246
rag_all_support,392,196,0.29846938775510207,1.3645504546202192,0.7500367346938777,0.27517857142857144,11.607142857142858,1914.8010204081634
