condition,n_query,n_users,accuracy,elicited_nll,elicited_brier,mean_p_true,mean_actual_k,mean_input_tokens
query_only,10,10,0.4,1.3772851148525167,0.8032199999999999,0.348,0.0,509.3
rag_1,10,10,0.5,1.026567767716297,0.54138,0.45,1.0,625.1
rag_3,10,10,0.5,1.0872294365570638,0.5824,0.43500000000000005,3.0,875.2
rag_5,10,10,0.4,1.1028298614047218,0.6021799999999999,0.42000000000000004,5.0,1107.8
rag_10,10,10,0.5,1.0489302113314531,0.56752,0.438,9.4,1645.5
rag_all_support,10,10,0.5,1.1595882571631817,0.65674,0.4050000000000001,11.8,1936.4
