model_a,model_b,metric,n_users,delta,ci_low,ci_high
rag_1,query_only,correct,10,0.1,0.0,0.3
rag_1,query_only,elicited_nll,10,-0.35071734713621955,-0.6866933284461881,-0.03414461916051276
rag_1,query_only,elicited_brier,10,-0.26183999999999996,-0.44510749999999993,-0.10762899999999996
rag_3,query_only,correct,10,0.1,0.0,0.3
rag_3,query_only,elicited_nll,10,-0.29005567829545287,-0.612618826933028,0.025740569883463172
rag_3,query_only,elicited_brier,10,-0.22082000000000002,-0.3814635,-0.07607499999999999
rag_5,query_only,correct,10,0.0,0.0,0.0
rag_5,query_only,elicited_nll,10,-0.27445525344779476,-0.5874844483830648,0.029463375380055355
rag_5,query_only,elicited_brier,10,-0.20103999999999997,-0.3529005000000001,-0.04975599999999989
rag_10,query_only,correct,10,0.1,-0.2,0.4
rag_10,query_only,elicited_nll,10,-0.32835490352106356,-0.7212200813917866,0.049272836643195296
rag_10,query_only,elicited_brier,10,-0.23569999999999994,-0.4810199999999999,-0.01795449999999991
rag_all_support,query_only,correct,10,0.1,-0.2,0.4
rag_all_support,query_only,elicited_nll,10,-0.21769685768933494,-0.6861673647062154,0.21656284028672176
rag_all_support,query_only,elicited_brier,10,-0.14648,-0.43258099999999994,0.1309000000000002
