epoch,train_nll,val_nll,monitor_k
1,1.3754031883095794,1.3601202749398604,5
2,1.3386359237275034,1.3069577487299675,5
3,1.2823435225576725,1.2521705840324735,5
4,1.2581351388175532,1.2305018749110732,5
5,1.2310880917423177,1.2201205792230447,5
6,1.2265373693322235,1.2148991847636896,5
7,1.222519629406479,1.2114748431725513,5
8,1.2312170784428436,1.209355685624086,5
9,1.2289587979046803,1.2071103121361901,5
10,1.2288234503764026,1.205104140654532,5
11,1.2288900748738703,1.2026839756743668,5
12,1.2270760941055585,1.2009175957951312,5
13,1.207352968881715,1.1981874130311072,5
14,1.21932471473262,1.1969458171609857,5
15,1.2319991093761515,1.196376505457711,5
16,1.215556169455906,1.1949580197921974,5
17,1.212595264866667,1.1937900382529993,5
18,1.2114942523668397,1.1921760230815652,5
19,1.1958148771861814,1.1908535507921219,5
20,1.2247107118930456,1.1913034598840126,5
21,1.22999873026362,1.1920310065222934,5
22,1.1988737515683443,1.1892896134133875,5
23,1.2194904178943273,1.189199775110818,5
24,1.212372973280133,1.1886816877028443,5
25,1.1970697056572392,1.1872681386963926,5
26,1.2152961470046133,1.1873160481796183,5
27,1.2062867992329147,1.1873295007369271,5
28,1.2030612275285542,1.1865407969170427,5
29,1.208711880557942,1.186223825995412,5
30,1.2122727362614758,1.1858538379803572,5
31,1.1903446710334633,1.1844031262194115,5
32,1.2014416006376158,1.1845160270106174,5
33,1.2181486881004189,1.1850343385045508,5
34,1.214081125439338,1.184910373337411,5
35,1.1989032727367472,1.1837575493626429,5
36,1.216079314924636,1.1833640373758172,5
37,1.2124706911590863,1.18392720272268,5
38,1.2078719633930135,1.1829593189285426,5
39,1.2060718311453766,1.1828596290787057,5
40,1.200262744471712,1.182100288019945,5
41,1.2210621698847357,1.1829670416305043,5
42,1.1928997174748834,1.182041700108261,5
43,1.204475755961436,1.182120494574413,5
44,1.2077163053008746,1.1824539048316012,5
45,1.205062283659881,1.1817569312377383,5
46,1.1925291025413658,1.180521103519182,5
47,1.2064402103424072,1.1802299647976588,5
48,1.1974027235552949,1.1815293451777085,5
49,1.2027283344628676,1.1808439640911776,5
50,1.205750415909965,1.1806901286669695,5
51,1.2136844171668,1.1806472881250973,5
52,1.19459523794786,1.1799312810373652,5
53,1.1809795420124847,1.1785871662865355,5
54,1.2024474188966572,1.1785663918067772,5
55,1.190640501256259,1.1785631839004125,5
56,1.2102049701618698,1.1789192527850265,5
57,1.1943164771457888,1.17885258063802,5
58,1.1882445564809836,1.177358628349456,5
59,1.2144137643418222,1.1788774757966514,5
60,1.1983831446125823,1.177888998028293,5
61,1.1913936824168798,1.177425610630366,5
62,1.1930994245241273,1.1769378561724009,5
63,1.195506417526389,1.176357826303675,5
64,1.1939939710329164,1.1762985899137268,5
65,1.2060476608996122,1.1770292647350364,5
66,1.1918670726272296,1.17655108610756,5
67,1.1959318754807957,1.176338347629369,5
68,1.2076005800715033,1.1766194555998342,5
69,1.195805940987929,1.1762570178652911,5
70,1.2061899832959444,1.1766122025717465,5
71,1.1957681314000543,1.1768128882259148,5
72,1.1895747454661243,1.1772478792686465,5
73,1.2057968445543974,1.1763120804203633,5
74,1.1918440045050855,1.1757581266671449,5
75,1.2114096924943745,1.1762616348817436,5
76,1.1972535241324946,1.175296645698078,5
77,1.1974789039143976,1.1753607099005516,5
78,1.1882955150784187,1.175333053905185,5
79,1.1933888871714753,1.175106620922604,5
80,1.1968481889310874,1.1752914070421228,5
81,1.1993240095534414,1.1753505986949888,5
82,1.1747977621150467,1.1742311446667153,5
83,1.199558192828916,1.1747672264863531,5
84,1.1969588342702613,1.1743156412633973,5
85,1.1753147683053646,1.1729848263489189,5
86,1.1753877918675262,1.1723845242797155,5
87,1.2046314792812995,1.1728105954089194,5
88,1.1868358783002169,1.1731128800620543,5
89,1.2069792769989878,1.1729038678842802,5
90,1.1810728783877391,1.1719317004675458,5
91,1.1940526703618608,1.1720704697326854,5
92,1.1831638813018799,1.1706897741835858,5
93,1.1867331648772617,1.170694919600917,5
94,1.1943705261878248,1.1706975455787012,5
95,1.182294469959331,1.1702053230503042,5
96,1.1761431277922865,1.1693411995748353,5
97,1.1857439650679535,1.1694153470415338,5
98,1.1844674989862263,1.1692181616585753,5
99,1.1882301254092522,1.1694633535821417,5
100,1.1989568359446976,1.169475463352463,5
101,1.184791438984421,1.1698309218854364,5
102,1.203174629301395,1.1705050196989233,5
103,1.1819552160658926,1.1700165629631936,5
104,1.1874681126396611,1.1693358027054748,5
105,1.198723538866583,1.1694544058135188,5
106,1.1827185165207341,1.1690446447380278,5
107,1.1810953099772614,1.1686889153045166,5
108,1.171362301088729,1.1678994273404801,5
109,1.1925594064424623,1.168418252244267,5
110,1.1725006665823594,1.1673424355305289,5
111,1.1868855345923945,1.1675981263973731,5
112,1.1700633246943635,1.1670161943031137,5
113,1.171966312066564,1.1665570613323444,5
114,1.1739927698981087,1.166829874483484,5
115,1.1796993174642887,1.1667527427608493,5
116,1.1903052195063177,1.167304698640083,5
117,1.1736539692248937,1.1672619487935092,5
118,1.1761401464354317,1.167342635457832,5
119,1.1955465348261707,1.1667609005716513,5
120,1.185938632713174,1.167125684318041,5
