lambda_retrieval,val_nll
0.0,1.1398078043581026
0.05,1.139566522940909
0.1,1.139476275621438
0.15000000000000002,1.1395392639043473
0.2,1.1397577062650788
0.25,1.1401338376759025
0.30000000000000004,1.1406699085019791
0.35000000000000003,1.141368182715892
0.4,1.142230935395053
0.45,1.143260449487947
0.5,1.1444590118615503
0.55,1.1458289086708313
0.6000000000000001,1.1473724201178637
0.65,1.1490918146874824
0.7000000000000001,1.150989342953454
0.75,1.1530672310402381
0.8,1.1553276737999707
0.8500000000000001,1.1577728277254602
0.9,1.1604048035746475
0.9500000000000001,1.163225658639398
1.0,1.1662373885615052
