condition,n_query,n_users,accuracy,elicited_nll,elicited_brier,mean_p_true,mean_actual_k,mean_input_tokens
query_only,392,196,0.21173469387755103,1.7730055526659867,1.0069367346938776,0.24632653061224485,0.0,510.3826530612245
rag_1,392,196,0.4005102040816326,1.54009483786069,0.7819085459183673,0.34594387755102035,1.0,631.0280612244898
rag_3,392,196,0.4260204081632653,1.3826580935755168,0.732340306122449,0.3599489795918368,3.0,873.3469387755102
rag_5,392,196,0.41836734693877553,1.393210116327373,0.7440954081632654,0.35752551020408163,4.98469387755102,1111.2984693877552
rag_10,392,196,0.4413265306122449,1.4784403218273003,0.7160326530612244,0.3704336734693877,9.137755102040817,1600.2576530612246
rag_all_support,392,196,0.4387755102040816,1.4973083328717138,0.7282066326530612,0.3643877551020408,11.607142857142858,1914.8010204081634
