step,metric,n,mean,ci_low,ci_high
1,matched_change_gap,196,0.8425929385180376,0.7922308707989905,0.8927750737862471
1,semantic_new_effect,196,0.0007532226796052894,-5.07725108110783e-05,0.0015528831564422167
1,semantic_old_effect,196,0.00025880610456272045,-0.0007170344740912622,0.001235125770754352
1,alpha_new_minus_old,196,-0.00770107021897423,-0.017248157923565988,0.0015988889207341286
1,contrast_projection,196,0.7871286931390665,0.7437432838565842,0.834471195324191
2,matched_change_gap,196,1.5117455126375567,1.4276840012064396,1.59775397028698
2,semantic_new_effect,196,0.001430348322099569,7.682319502441253e-05,0.002851785930367757
2,semantic_old_effect,196,9.871988880391023e-05,-0.0016191787685134581,0.001815535621337441
2,alpha_new_minus_old,196,-0.00672354589083365,-0.016452326907833315,0.0028907041036885044
2,contrast_projection,196,1.4429564272262612,1.3591834555285014,1.5252442985354944
3,matched_change_gap,196,2.045997948518821,1.9341945432810759,2.160413369395751
3,semantic_new_effect,196,0.0019386350652393029,5.396013528260654e-05,0.003861078209414774
3,semantic_old_effect,196,-0.00021685819540705,-0.002543676512467922,0.0021805708154047643
3,alpha_new_minus_old,196,-0.005999021403187392,-0.015648693053945138,0.003341376523924422
3,contrast_projection,196,1.9852860262807535,1.8777682082613512,2.094564964667875
4,matched_change_gap,196,2.4759982578000246,2.3421616658872484,2.6080882692367444
4,semantic_new_effect,196,0.002304571927810202,4.727465993895823e-05,0.00443107727534917
4,semantic_old_effect,196,-0.0005430118085778489,-0.0033474474185507517,0.002249815594404936
4,alpha_new_minus_old,196,-0.005407980909304959,-0.014692760227077013,0.0039915738465758615
4,contrast_projection,196,2.431915583355086,2.307647270481197,2.565686457976699
5,matched_change_gap,196,2.8253790045879326,2.680876111969048,2.9687523234711617
5,semantic_new_effect,196,0.002575177699327469,1.1367712892135955e-05,0.005115653604877239
5,semantic_old_effect,196,-0.0008257406250554688,-0.003954657750698376,0.002163340598915001
5,alpha_new_minus_old,196,-0.00490344910673341,-0.014076654237162853,0.004635175582192534
5,contrast_projection,196,2.7988897370440617,2.6528664426612,2.9466062191493654
6,matched_change_gap,196,3.1121408735611,2.950935050183717,3.2672702677243826
6,semantic_new_effect,196,0.0027744893972971,-6.943419670724133e-05,0.005565952241648826
6,semantic_old_effect,196,-0.0010589210658657308,-0.004340478056585606,0.002283799005862403
6,alpha_new_minus_old,196,-0.004466376020287981,-0.013575124542932122,0.004939373894784679
6,contrast_projection,196,3.1000145929200307,2.9417920439675145,3.250979154192063
7,matched_change_gap,196,3.3499390233536155,3.1780908530387952,3.518427351101929
7,semantic_new_effect,196,0.002916370119367327,-3.495342383275222e-05,0.00576072606277101
7,semantic_old_effect,196,-0.001249718346766063,-0.004915176898393095,0.0022428286737021155
7,alpha_new_minus_old,196,-0.004085102460670228,-0.013515441301183737,0.0052986934928375565
7,contrast_projection,196,3.346889929199705,3.1774549089220105,3.5153402369773508
8,matched_change_gap,196,3.5491497103048832,3.3845166372553424,3.735055902296183
8,semantic_new_effect,196,0.003012719050962098,-0.00017461589708620188,0.006231127997708261
8,semantic_old_effect,196,-0.001404547721755748,-0.005359732230402986,0.002396318049417163
8,alpha_new_minus_old,196,-0.003751325459048456,-0.013197992003180694,0.005505677717452755
8,contrast_projection,196,3.549149686280562,3.3662433466741017,3.717328904728804
