recovery_step,metric,n,mean,ci_low,ci_high
0,gap_to_matched_stable,196,0.8425929385180376,0.7940484007668435,0.8898327215498655
0,matched_recovery_fraction,196,0.0,0.0,0.0
1,gap_to_matched_stable,196,0.7200349227202182,0.6764904711984706,0.7623354616765009
1,matched_recovery_fraction,196,0.14391516383166064,0.1356383101199997,0.15186581349212075
2,gap_to_matched_stable,196,0.6288854399962085,0.5899643479808405,0.6681031377263824
2,matched_recovery_fraction,196,0.2519581952736019,0.23861707605411847,0.2650340565378864
3,gap_to_matched_stable,196,0.5607196611865443,0.5244561256669765,0.5999007270614408
3,matched_recovery_fraction,196,0.33355801481805764,0.3166349961656064,0.34991650397076524
4,gap_to_matched_stable,196,0.5091591076735331,0.4722488452471336,0.5474976502092821
4,matched_recovery_fraction,196,0.39581232894090995,0.3763021051613149,0.41554041070433323
