persona_id,condition,step,elapsed_updates,g_disp_pre,g_cos_pre,p_new,p_old,alpha,g_gap_matched_stable,contrast_projection,g_00,g_01,g_02,g_03,g_04,g_05,g_06,g_07,g_08,g_09,g_10,g_11,g_12,g_13,g_14,g_15,g_16,g_17,g_18,g_19,g_20,g_21,g_22,g_23,g_24,g_25,g_26,g_27,g_28,g_29,g_30,g_31
644,pre,0,0,0.0,0.9999999128862951,0.3995327949523926,0.38527411222457886,,,,-2.6544876098632812,0.10501900315284729,1.1477136611938477,1.3542639017105103,-0.1426926702260971,1.2408132553100586,-0.9135916233062744,-0.10502461344003677,0.6396584510803223,-0.6138553619384766,0.7575536966323853,1.2061163187026978,-0.039287738502025604,-0.6089961528778076,0.7440384030342102,-0.6157965660095215,-1.3171296119689941,-0.3814641833305359,0.47366535663604736,1.464576244354248,-0.5461602210998535,-0.43398624658584595,-0.9195992946624756,-0.4674883484840393,1.4809073209762573,0.31180697679519653,-0.4073818027973175,-0.6694762706756592,0.5298964381217957,-1.5345849990844727,1.1881721019744873,-0.13329213857650757
644,stable_old,1,1,0.42230531573295593,0.9981172767020438,0.40149980783462524,0.3809226155281067,0.24269163608551025,0.0,0.0,-2.7120721340179443,0.10774509608745575,1.1886476278305054,1.4771547317504883,-0.15685755014419556,1.244884967803955,-0.883285641670227,-0.10775744915008545,0.6775033473968506,-0.716742753982544,0.7821732759475708,1.1930971145629883,0.019321255385875702,-0.5275695323944092,0.7807619571685791,-0.597175121307373,-1.4495537281036377,-0.38513022661209106,0.4659920334815979,1.509473204612732,-0.5701181888580322,-0.3212510347366333,-0.9411133527755737,-0.5140955448150635,1.5730897188186646,0.33736586570739746,-0.4056529104709625,-0.7192385792732239,0.5677507519721985,-1.8239173889160156,1.195673942565918,-0.14625440537929535
644,sustained_new,1,1,1.0088313817977905,0.9829284320099064,0.3948688209056854,0.37847331166267395,0.2708110213279724,0.930212140083313,0.8904293775558472,-2.713123321533203,-0.3204890787601471,1.1701487302780151,1.46049964427948,-0.21958491206169128,1.266448974609375,-0.7027985453605652,-0.22908303141593933,0.6956824064254761,-0.7254775762557983,0.690947413444519,1.1265263557434082,0.19835272431373596,-0.18390211462974548,0.8288578987121582,-0.4918800890445709,-1.2698214054107666,-0.256741464138031,0.16566002368927002,1.5275076627731323,-0.7457267045974731,-0.5011047124862671,-0.5156846046447754,-0.35500773787498474,1.4757702350616455,0.34701016545295715,-0.30536994338035583,-0.6023218631744385,0.6139686703681946,-1.8530458211898804,1.112454891204834,-0.1758732795715332
644,stable_old,2,2,0.8046317100524902,0.9926868867646295,0.4027125835418701,0.37693139910697937,0.24023808538913727,0.0,0.0,-2.7166013717651367,0.10987894982099533,1.2073967456817627,1.5753839015960693,-0.16945478320121765,1.2349461317062378,-0.8257544040679932,-0.10977277159690857,0.7048888206481934,-0.811740517616272,0.7964483499526978,1.1691250801086426,0.07485891133546829,-0.44170689582824707,0.8062247633934021,-0.5549434423446655,-1.5574779510498047,-0.3859439492225647,0.4496416449546814,1.5243232250213623,-0.5833313465118408,-0.20738470554351807,-0.9469845294952393,-0.5514708757400513,1.634581446647644,0.3598369359970093,-0.3920990824699402,-0.7540122270584106,0.5977861881256104,-2.106259822845459,1.1831092834472656,-0.15585795044898987
644,sustained_new,2,2,1.7963546514511108,0.9474009215574185,0.39014607667922974,0.37155085802078247,0.26641833782196045,1.611007571220398,1.5635383129119873,-2.6966981887817383,-0.6185466051101685,1.1731494665145874,1.5438710451126099,-0.27812492847442627,1.2630301713943481,-0.5097780227661133,-0.3191482722759247,0.7249961495399475,-0.824804961681366,0.6490811109542847,1.0509419441223145,0.37887293100357056,0.12350277602672577,0.8756096363067627,-0.3870335519313812,-1.22844398021698,-0.18546883761882782,-0.062481559813022614,1.559626579284668,-0.9203169345855713,-0.5312882661819458,-0.19792592525482178,-0.2775639295578003,1.4487180709838867,0.3739493191242218,-0.21311187744140625,-0.5078192949295044,0.6799914836883545,-2.170180559158325,1.0514452457427979,-0.20705503225326538
644,stable_old,3,3,1.1580548286437988,0.984086262104876,0.40327689051628113,0.3734161853790283,0.23774346709251404,0.0,0.0,-2.6812567710876465,0.11197978258132935,1.2099486589431763,1.6520538330078125,-0.18071402609348297,1.2170509099960327,-0.7488105893135071,-0.11143245548009872,0.7244738936424255,-0.8971313238143921,0.8030898571014404,1.1393662691116333,0.12524157762527466,-0.3580944538116455,0.8228803873062134,-0.49715518951416016,-1.6445331573486328,-0.3848666548728943,0.42846745252609253,1.5169909000396729,-0.5880064368247986,-0.0990205630660057,-0.9423085451126099,-0.5805888175964355,1.670680284500122,0.37968018651008606,-0.36995112895965576,-0.775814950466156,0.6208323240280151,-2.378190755844116,1.1579759120941162,-0.16247421503067017
644,sustained_new,3,3,2.422818422317505,0.9072355008600758,0.3858192265033722,0.36546528339385986,0.2624208331108093,2.1092655658721924,2.069094181060791,-2.6261861324310303,-0.8231872320175171,1.1632393598556519,1.6079161167144775,-0.32480669021606445,1.2423232793807983,-0.33486372232437134,-0.3879891633987427,0.7384392619132996,-0.9074153900146484,0.6205519437789917,0.9807280898094177,0.5114063620567322,0.344304621219635,0.8986833691596985,-0.2964751720428467,-1.1922340393066406,-0.14953552186489105,-0.22713282704353333,1.5658884048461914,-1.0644681453704834,-0.5412010550498962,0.05182798206806183,-0.22361412644386292,1.4053435325622559,0.3950144946575165,-0.12974762916564941,-0.39981913566589355,0.7293537855148315,-2.4787724018096924,1.001477599143982,-0.227597177028656
644,stable_old,4,4,1.488081693649292,0.9727664070391729,0.40333205461502075,0.37041714787483215,0.235286146402359,0.0,0.0,-2.6168737411499023,0.11429727077484131,1.2010834217071533,1.7099616527557373,-0.1908111870288849,1.1950231790542603,-0.6593641042709351,-0.11297093331813812,0.7382262945175171,-0.9716653823852539,0.8041542768478394,1.107108235359192,0.1695004552602768,-0.28061366081237793,0.8325979113578796,-0.4305677115917206,-1.7139109373092651,-0.3824821412563324,0.4052410125732422,1.4939162731170654,-0.5859871506690979,0.0004132762551307678,-0.9307692050933838,-0.6024179458618164,1.685889482498169,0.39721402525901794,-0.34205323457717896,-0.7866040468215942,0.6377285718917847,-2.6371169090270996,1.1256684064865112,-0.1665094643831253
644,sustained_new,4,4,2.9306459426879883,0.8679360384544711,0.3820503056049347,0.36029502749443054,0.25887781381607056,2.473421573638916,2.4455008506774902,-2.520254135131836,-0.9591909646987915,1.145105242729187,1.6549136638641357,-0.36342644691467285,1.21240234375,-0.17888320982456207,-0.4428417980670929,0.7424501180648804,-0.9711258411407471,0.599022388458252,0.9167347550392151,0.6061919927597046,0.5014694929122925,0.9071314334869385,-0.21712082624435425,-1.1598646640777588,-0.13569135963916779,-0.3435419797897339,1.5514075756072998,-1.177232027053833,-0.5411826968193054,0.24771280586719513,-0.18606653809547424,1.3494720458984375,0.41184619069099426,-0.05451768636703491,-0.288598895072937,0.7643669843673706,-2.7734017372131348,0.9600460529327393,-0.23943491280078888
644,stable_old,5,5,1.7970105409622192,0.9592414429585484,0.4030168056488037,0.36792200803756714,0.23292723298072815,0.0,0.0,-2.5323691368103027,0.116922527551651,1.1845417022705078,1.7516567707061768,-0.19988664984703064,1.171237826347351,-0.5633355379104614,-0.11453026533126831,0.7475969791412354,-1.0345847606658936,0.8012241721153259,1.074458360671997,0.20739752054214478,-0.21126113831996918,0.83684903383255,-0.36049675941467285,-1.7683429718017578,-0.3791710138320923,0.38186565041542053,1.4602935314178467,-0.5788170695304871,0.08942466974258423,-0.9149705171585083,-0.6178944110870361,1.684096097946167,0.4126812815666199,-0.3107127547264099,-0.7882080674171448,0.6493144631385803,-2.881263017654419,1.0899823904037476,-0.16836462914943695
