condition,n_query,n_users,accuracy,nll,brier,mean_p_true
query_only,392,196,0.21173469387755103,1.7730055526659865,1.0069367346938776,0.24632653061224485
rag_1,392,196,0.4005102040816326,1.54009483786069,0.7819085459183673,0.34594387755102035
rag_3,392,196,0.4260204081632653,1.3826580935755168,0.732340306122449,0.3599489795918368
rag_5,392,196,0.41836734693877553,1.393210116327373,0.7440954081632652,0.35752551020408163
rag_10,392,196,0.4413265306122449,1.4784403218273003,0.7160326530612244,0.3704336734693877
rag_all_support,392,196,0.4387755102040816,1.4973083328717138,0.7282066326530612,0.3643877551020408
