condition,n_query,n_users,accuracy,nll,brier,mean_p_true
ats_g_plus_rag_cf,392,196,0.6913265306122449,0.8698799857582756,0.4659176757707329,0.48509667156255554
ats_g,392,196,0.6326530612244898,0.9056548590032885,0.49566308072017007,0.4870923755053421
ats_reset,392,196,0.6224489795918368,0.9351106058993267,0.5112926520775194,0.4611592743074731
rag_selected_cf,392,196,0.41581632653061223,1.3960447808565144,0.7414035714285716,0.3565561224489796
llm_query_only,392,196,0.21173469387755103,1.7730055526659865,1.0069367346938776,0.24632653061224485
