fold,n_train_users,n_test_users,selected_rag_condition,selected_rag_train_user_mean_nll,selected_lambda_rag,selected_fusion_train_user_mean_nll
0,156,40,rag_3,1.3943563129451728,0.2,0.8656630320526685
1,157,39,rag_3,1.357422277560823,0.2,0.8228915215489454
2,157,39,rag_3,1.3953150154982563,0.2,0.882444529854983
3,157,39,rag_3,1.3319388569365609,0.25,0.8624619287420773
4,157,39,rag_5,1.4307936990237653,0.2,0.8845769050410565
