turn,n_feedback,mean_words,median_words,p90_words,p99_words
first,39046,55.16255186190647,50.0,91.0,154.0
second,38199,54.872143249823296,50.0,90.0,155.0
third,18736,54.53298462852263,49.0,90.0,153.0
fourth,8085,55.771181199752625,51.0,91.0,151.0
