language,choice,count
en,a,30721
en,d,20786
en,b,14700
en,c,13307
pt,a,13126
hi,a,12881
pt,d,12790
fr,a,12726
it,a,12475
it,d,10927
fr,d,10525
hi,d,9874
pt,b,8564
it,b,7908
pt,c,7844
fr,b,7479
hi,b,7062
it,c,6946
fr,c,6709
hi,c,5969
