turn,choice,count
first,d,31179
second,a,31090
first,a,26849
second,d,20119
second,b,17148
third,a,16057
first,b,16047
first,c,15554
second,c,14881
third,d,9246
third,b,8572
fourth,a,7933
third,c,6976
fourth,d,4358
fourth,b,3946
fourth,c,3364
